COMMON,SCIENTIFIC,ACTIVITY_CODE,FWS_OFFICE,DATE,Mention,Analysis,Programmatic,,,,
"Pikeminnow, Colorado",Ptychochelius lucius,06E24100-2015-F-0009,COLORADO ECOLOGICAL SERVICES FIELD OFFICE,3/9/2015,N,N,N,,,,
"Pikeminnow, Colorado",Ptychochelius lucius,06E24100-2014-F-0126,COLORADO ECOLOGICAL SERVICES FIELD OFFICE,5/20/2014,N,N,Y,,,,
"Pikeminnow, Colorado",Ptychochelius lucius,06E24100-2014-F-0160,COLORADO ECOLOGICAL SERVICES FIELD OFFICE,7/25/2014,N,N,Y,,,,
"Pikeminnow, Colorado",Ptychochelius lucius,02E00000-2015-F-0001,NEW MEXICO ECOLOGICAL SERVICES FIELD OFFICE,2/13/2015,N,N,Y,,,,
"Cliffrose, Arizona",Purshia subintegra,02-21-00-F-069,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,3/9/2001,Y,Y,N,p26. The establishment of recovery units provide for the analysis of th effects of a proposed action on a listed species ot be completed base dupon the status of the species within the impacted recovery unit.,,,
"Cliffrose, Arizona",Purshia subintegra,02-21-03-F-0210,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,9/3/2004,N,N,N,,,,
"Cliffrose, Arizona",Purshia subintegra,2-21-92-F-732,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,10/28/1997,Y,Y,N,p29. The establishment of recovery units provide for the analysis of th effects of a proposed action on a listed species ot be completed base dupon the status of the species within the impacted recovery unit.,,,
"Cliffrose, Arizona",Purshia subintegra,02EAAZ00-2014-F-0207,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,8/14/2014,N,N,N,,,,
"Cliffrose, Arizona",Purshia subintegra,22410-2009-F-0018,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,8/6/2012,N,N,N,,,,
"Cliffrose, Arizona",Purshia subintegra,02-21-05-F-0710,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,2/5/2007,N,N,N,,,,
"Frog, Chiricahua leopard",Rana chiricahuensis,02ENNM00-2014-F-0275,NEW MEXICO ECOLOGICAL SERVICES FIELD OFFICE,5/23/2014,N,N,N,"p 10 ""The proposed action will occur within a relatively small portion of th especies entire range.  Although take of Chiricahua leopard frog from project implementation is likely, the anticipated level is small in proportion to range-wide population.""",,,
"Frog, Chiricahua leopard",Rana chiricahuensis,22420-2011-F-0034,NEW MEXICO ECOLOGICAL SERVICES FIELD OFFICE,2/28/2011,y,Y,N,recovery units mentioned in analysis and conclusions on pgs 14 and 15,,,
"Frog, Chiricahua leopard",Rana chiricahuensis,02EAAZ00-2015-F-0849,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,2/2/2017,N,N/A,N,,,,
"Frog, Chiricahua leopard",Rana chiricahuensis,02EAAZ00-2016-F-0336,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,9/22/2016,Y,Y,N,p13…should allow for the continued funciton of the metapopulation in this recoveyr unit.,,,
"Frog, Chiricahua leopard",Rana chiricahuensis,02EAAZ00-2015-F-0512,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,5/6/2016,N,N,N,CHU considered,,,
"Frog, Chiricahua leopard",Rana chiricahuensis,22410-2007-F-0197,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,2/9/2009,Y,N,N,,,,
"Frog, Chiricahua leopard",Rana chiricahuensis,22410-2005-F-0002,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,12/15/2008,Y,N/A,N,,,,
"Frog, Chiricahua leopard",Rana chiricahuensis,22410-2008-F-0486,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,8/26/2011,Y,Y,N,,,,
"Frog, Chiricahua leopard",Rana chiricahuensis,2-22-04-F-0090,NEW MEXICO ECOLOGICAL SERVICES FIELD OFFICE,7/20/2004,N,N,N,,,,
"Frog, Chiricahua leopard",Rana chiricahuensis,22410-2006-F-0408,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,8/12/2008,N,N,N,,,,
"Frog, Chiricahua leopard",Rana chiricahuensis,02E00000-2015-F-0001,NEW MEXICO ECOLOGICAL SERVICES FIELD OFFICE,2/13/2015,N,N,Y,,,,
"Frog, California red-legged",Rana draytonii,08EVEN00-2010-F-0348,VENTURA FISH AND WILDLIFE OFFICE,4/8/2014,Y,N,N,The anticipate dloss of individuals will not appreciably affect these species' number sin the aciton area or rangewide,,,
"Frog, California red-legged",Rana draytonii,08EVEN00-2014-F-0155,VENTURA FISH AND WILDLIFE OFFICE,2/18/2015,Y,Y,N,,,,
"Frog, California red-legged",Rana draytonii,81430-2010-F-0215,CARLSBAD FISH AND WILDLIFE OFFICE,7/31/2010,N,N,N,,,,
"Frog, California red-legged",Rana draytonii,81420-2009-F-0390,SACRAMENTO FISH AND WILDLIFE OFFICE,1/9/2009,Y,Y,N,,,,
"Frog, California red-legged",Rana draytonii,81420-2009-F-0490,SACRAMENTO FISH AND WILDLIFE OFFICE,2/19/2009,Y,Y,N,,,,
"Frog, California red-legged",Rana draytonii,AFWO-14B0051-14F0118,ARCATA FISH AND WILDLIFE OFFICE,4/30/2014,Y,NA,N,,,,
"Frog, California red-legged",Rana draytonii,08ESMF00-2014-F-0190,SACRAMENTO FISH AND WILDLIFE OFFICE,12/19/2014,Y,N,N,,,,
"Frog, California red-legged",Rana draytonii,08EVEN00-2013-F-0377,VENTURA FISH AND WILDLIFE OFFICE,12/6/2013,Y,N,N,"Recovery units discussed, not listed as a reason for not declaring jeopardy. CHUs considered in admod",,,
"Frog, California red-legged",Rana draytonii,08EVEN00-2014-F-0327,VENTURA FISH AND WILDLIFE OFFICE,9/18/2014,Y,Y,N,"pg. 27 ""because the action area is within a recovery unit with ""high recovery status,"" the proposed bridge replacement is not likely to reduce the potential contribution of the action area to the conservation of the California red-legged frog.""",,,
"Frog, California red-legged",Rana draytonii,08ESMF00-2012-F-0682,SACRAMENTO FISH AND WILDLIFE OFFICE,10/23/2014,N,N,N,,,,
"Frog, California red-legged",Rana draytonii,08EVEN00-2015-F-0068,VENTURA FISH AND WILDLIFE OFFICE,5/21/2015,Y,Y,N,,,,
"Frog, California red-legged",Rana draytonii,08ESMF00-2013-F-0398,SACRAMENTO FISH AND WILDLIFE OFFICE,9/19/2007,Y,Y,Y,,,,
"Frog, California red-legged",Rana draytonii,02E00000-2015-F-0001,NEW MEXICO ECOLOGICAL SERVICES FIELD OFFICE,2/13/2015,N,N,Y,,,,
"Frog, California red-legged",Rana draytonii,08ESMF00-2012-F-0682,SACRAMENTO FISH AND WILDLIFE OFFICE,10/23/2014,N,N,Y,,,,
"Beetle, unnamed",Rhadine exilis,02ETAU00-2017-F-0187,AUSTIN ECOLOGICAL SERVICES FIELD OFFICE,3/16/2017,Y,Y,,Mentions 'karst fauna regions' and describes impacts to habitat at scale of 'zones'.,,,
"Beetle, unnamed",Rhadine exilis,21450-2011-F-0210,AUSTIN ECOLOGICAL SERVICES FIELD OFFICE,11/1/2015,Y,Y,,Mentions 'karst fauna regions' and thersholds for established populations per KFR.,,,
"Beetle, unnamed",Rhadine infernalis,02ETAU00-2017-F-0187,AUSTIN ECOLOGICAL SERVICES FIELD OFFICE,3/16/2017,Y,Y,,Mentions 'karst fauna regions' and describes impacts to habitat at scale of 'zones'.,,,
"Beetle, unnamed",Rhadine infernalis,21450-2011-F-0210,AUSTIN ECOLOGICAL SERVICES FIELD OFFICE,11/1/2015,Y,Y,,Mentions 'karst fauna regions' and thersholds for established populations per KFR.,,,
"Fly, Delhi sands flower-loving",Rhaphiomidas terminatus,14B0076-14F0343,CARLSBAD FISH AND WILDLIFE OFFICE,12/8/2014,Y,Y,N,,,,
"Trout, bull",Salvelinus confluentus,01EWFW00-2014-F-0183,WASHINGTON FISH AND WILDLIFE OFFICE,8/13/2014,Y,Y,N,,,,
"Trout, bull",Salvelinus confluentus,01EIFW00-2015-FE-0038,IDAHO FISH AND WILDLIFE OFFICE,,Y,Y,N,,,,
"Trout, bull",Salvelinus confluentus,06E11000-2014-F-0078,MONATNA ECOLOGICAL SERVICES FIELD OFFICE,2/19/2014,Y,Y,N,,,,
"Trout, bull",Salvelinus confluentus,06E11000-2015-F-0057,MONATNA ECOLOGICAL SERVICES FIELD OFFICE,1/23/2015,Y,Y,N,,,,
"Trout, bull",Salvelinus confluentus,06E11000-2014-F-0317,MONATNA ECOLOGICAL SERVICES FIELD OFFICE,3/1/2014,Y,Y,N,*all these montana biops are fantastic,,,
"Trout, bull",Salvelinus confluentus,01EOFW00-2015-F-0228,OREGON FISH AND WILDLIFE OFFICE,6/28/2015,Y,Y,N,,,,
"Trout, bull",Salvelinus confluentus,01EIFW00-2014-F-0031,IDAHO FISH AND WILDLIFE OFFICE,8/5/2014,Y,Y,N,,,,
"Trout, bull",Salvelinus confluentus,13420-2010-F-0003,OREGON FISH AND WILDLIFE OFFICE,10/15/2009,Y,Y,Y,,,,
"Trout, bull",Salvelinus confluentus,01EOFW00-2014-F-0222,OREGON FISH AND WILDLIFE OFFICE,5/15/2014,Y,Y,Y,,,,
"Trout, bull",Salvelinus confluentus,01EWFW00-2013-F-0436,WASHINGTON FISH AND WILDLIFE OFFICE,3/21/2014,Y,Y,N,p72 The anticipated direct and indirect effects of the action will not alter the status of bull trout at the scale of the Puget Sound interim recovery unit.,,,
"Dragonfly, Hine's emerald",Somatochlora hineana,13-R3-ELFO-02,EAST LANSING ECOLOGICAL SERVICES FIELD OFFICE,11/21/2013,Y,N,N,p14 The take of larvae and its subsequent effect on the adult population would not have a significan teffect on the Hine's emerald dragonfly population.,,,
"Owl, northern spotted",Strix occidentalis caurina,09B0010-14F0014-R001,ARCATA FISH AND WILDLIFE OFFICE,11/3/2014,Y,Y,N,"Explains that project effects are not ""expected to preclude recovery of the species in the recovery unit or rangewide"" and that they occur in less than 1% of the RU. There's even a subsection titled ""Effects to the physiographic providence and recovery unit"". This is a reasonably good example of FWS considering RUs. ",,,
"Owl, northern spotted",Strix occidentalis caurina,AFWO-14B0051-14F0118,ARCATA FISH AND WILDLIFE OFFICE,4/30/2014,Y,NA,N,,,,
"Owl, northern spotted",Strix occidentalis caurina,01EOFW00-2014-F-0239,OREGON FISH AND WILDLIFE OFFICE,10/28/2014,N,N,N,,,,
"Owl, northern spotted",Strix occidentalis caurina,01EWFW00-2015-F-0577,WASHINGTON FISH AND WILDLIFE OFFICE,9/24/2015,Y,Y,N,,,,
"Owl, northern spotted",Strix occidentalis caurina,2014-F-0197,OREGON FISH AND WILDLIFE OFFICE,7/2/2014,Y,Y,N,"p 8. These adverse effects are not expected to measurably reduce the size, distribution, or productivity of populations at the eCOprovince or rangewide scales and, therefore, will not jeopardize the continued existence of the species.",,,
"Owl, northern spotted",Strix occidentalis caurina,01EOFW00-2014-F-0222,OREGON FISH AND WILDLIFE OFFICE,5/15/2014,Y,N,Y,"units acknowledged, loss acknowledged, impacts not assessed by RU",,,
"Owl, northern spotted",Strix occidentalis caurina,01EOFW00-2014-F-0163,OREGON FISH AND WILDLIFE OFFICE,6/30/2014,Y,Y,Y,,,,
"Owl, northern spotted",Strix occidentalis caurina,01EOFW00-2014-F-0209,OREGON FISH AND WILDLIFE OFFICE,11/24/2014,Y,Y,N,,,,
"Sucker, razorback",Xyrauchen texanus,02EAAZ00-2012-F-059,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,9/28/2016,N,N,N,"refer to upper and lower units for humback chub, which doesn' have Rus. No mention for XT.",,,
"Sucker, razorback",Xyrauchen texanus,02EAAZ00-2015-F-0465,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,8/25/2016,N,N,N,,,,
"Sucker, razorback",Xyrauchen texanus,02-21-03-F-0210,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,9/3/2004,N,N,N,,,,
"Sucker, razorback",Xyrauchen texanus,22410-2007-F-0197,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,2/9/2009,N,N,N,,,,
"Sucker, razorback",Xyrauchen texanus,22410-2008-F-0219,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,1/28/2009,N,N,N,,,,
"Sucker, razorback",Xyrauchen texanus,02/21/04/F/0036,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,1/30/2004,N,N,N,,,,
"Sucker, razorback",Xyrauchen texanus,02-21-89-F-0214,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,8/17/2004,N,N,N,,,,
"Sucker, razorback",Xyrauchen texanus,02EAAZ00-2013-F-0019,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,7/9/2014,N,N,N,,,,
"Sucker, razorback",Xyrauchen texanus,22410-2008-F-0486,ARIZONA ECOLOGICAL SERVICES FIELD OFFICE,8/26/2011,Y,N,N,,,,
"Sucker, razorback",Xyrauchen texanus,06E24100-2014-F-0126,COLORADO ECOLOGICAL SERVICES FIELD OFFICE,5/20/2014,N,N,Y,,,,
"Sucker, razorback",Xyrauchen texanus,06E24100-2014-F-0160,COLORADO ECOLOGICAL SERVICES FIELD OFFICE,7/25/2014,N,N,Y,,,,
"Sucker, razorback",Xyrauchen texanus,02E00000-2015-F-0001,NEW MEXICO ECOLOGICAL SERVICES FIELD OFFICE,2/13/2015,N,N,Y,,,,
"Mouse, Prebles meadow jumping",Zapus hudsonius preblei,06E24000-2014-F-0784,COLORADO ECOLOGICAL SERVICES FIELD OFFICE,7/17/2014,Y,N,N,,0.66 ac habitat,2 individuals,
"Mouse, Prebles meadow jumping",Zapus hudsonius preblei,06E24000-2014-F-0300,COLORADO ECOLOGICAL SERVICES FIELD OFFICE,6/20/2014,Y,N,N,,0.17 acres,2 individuals,
,,,,,,,,,,,
,,,,,133,89,0.669172932,,,,
,,,,,206,,,,,,
,,,,,0.645631068,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,uni,,,,,,
